JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Engineer Student Thesis Assignment - Vent Pattern Design,Apollo Tyres Global R&D,Enschede,Meer dan 30 dagen geleden,03-01-2021,"Next to delivering the data the department clarifies questions of the suppliers, which are located all around the globe.
Available for 5-6 months.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeJnrXaUflvF4o6KqeKJBM9d_15l4Y-yo8sl4Im7piN-a9gnZp-jpfvZ-Lf-dpT0OQfsvXkvKEBxYReazp7mGrGxfRcbYv59DMJZPLt4LB9CJFyOw1m2d3HPKNOb4sC9yjhX2T96-s4gQ9oUq9j4nJZYk0UdcWERyeqJD9r5CKimL3exJXqBAn5nj5wIHyhW87WKrXnxklCpBfpkfUw-5YiDZrvR3mV-AoAlvsRkohdd0oo0LOIxXGoFgTyyTT6LHqdQl-FHr1biiAIH1W80Mwe9gNTJZ8G3gpikJYWTOkLdDNew6iXE4vQh3lSrT7XH_wWiwwYWuYJy2KpIED6hOz4LJLqhzqxEGpMcd9yvx_usMMhAaTGlcFcdqiHbGx-PTF_bCIBkZYm2xDbuKaoEdCm4FeV7yBGjwcAL9oy3cA-Z1ygSqzUr8bnjLvPd8HHPBYCN2ixt-3_Hmmd-CKwD7Gjl8hmnwMoHbHood3rfHHtYUQFy5CJTUk&p=0&fvj=1&vjs=3
Internship: Business Development & Marketing (suitable for thesis),Philips,Amsterdam,12 dagen geleden,03-01-2021,"Internship: Business Development & Marketing (suitable for thesis).
It can be discussed to make this assignment suitable for your thesis.
You are a part of.",,https://nl.indeed.com/rc/clk?jk=bd24d0ced519d28f&fccid=e4af9ca5b6d3a604&vjs=3
Research Assistant (master thesis),Effectory,Amsterdam Centrum,10 dagen geleden,03-01-2021,"This is the data you will be using for your research.
We collect data from questionnaires from workplaces all around the world.
But that’s not all!",,https://nl.indeed.com/rc/clk?jk=27e015500ecb8814&fccid=d40e13dda2f62843&vjs=3
Quant Analyst,DA VINCI DERIVATIVES,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Analyzing market data to build new trading strategies.
Improving and refining the data infrastructure and setup.
In this role we are looking for:","<span class=""salaryText"">
€80.000 per jaar</span>",https://nl.indeed.com/rc/clk?jk=048f7de6ee4908e4&fccid=bed24f857b7521e3&vjs=3
"Internships / Stages: Marketing, Sales, Data, Customer Support, Finance, Administratie",Springest,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"For example, scraping data from websites, API or other data resources, to add to Springest.
Next to that, you will have the chance to write scripts to…",,https://nl.indeed.com/rc/clk?jk=46c93bd80197c45c&fccid=fe1b59d89783fc71&vjs=3
Internship: Business Development Garment Care (Suitable for thesis),Philips,Amsterdam,11 dagen geleden,03-01-2021,"Internship: Business Development Garment Care (Suitable for thesis).
We are open to discuss support on your thesis subject as long as it will be in line with…",,https://nl.indeed.com/rc/clk?jk=462ddd5e87dcb344&fccid=e4af9ca5b6d3a604&vjs=3
AI technical internship - Spring 2021,Quinyx,Rotterdam,19 dagen geleden,03-01-2021,"Preferably has experience with large data sets, data mining, time series analysis, deep learning and distributed algorithms.
What you’ll be doing.",,https://nl.indeed.com/rc/clk?jk=99d6ca29e686a535&fccid=cb08197253757670&vjs=3
Science Traineeship,MIcompany,Amsterdam Centrum,Meer dan 30 dagen geleden,03-01-2021,"One of the fastest-growing data sources in the world is DNA data and medical imaging data.
Esmée is currently working towards a publication of her thesis.",,https://nl.indeed.com/rc/clk?jk=6321c0283d4a7d7f&fccid=4e85df510c3b1124&vjs=3
Postdoctoral researcher on reinforcement learning with structured data,Universiteit van Amsterdam,Amsterdam Centrum,Meer dan 30 dagen geleden,03-01-2021,We are looking for a postdoctoral researcher interested in performing research on developing (deep) reinforcement learning techniques that can take structured…,"<span class=""salaryText"">
€2.790 - €4.402 per maand</span>",https://nl.indeed.com/rc/clk?jk=bc918a9237aaf007&fccid=6d76c7ec59b89971&vjs=3
Afstudeerstage Digital Ethics,PwC,Amsterdam,27 dagen geleden,03-01-2021,"Heb jij het idee dat innovatie, technologie en data dé oplossing vormen van elk klantprobleem?
Jouw belangrijkste activiteit is het schrijven van je thesis of…",,https://nl.indeed.com/rc/clk?jk=f0d8e0141034d9dc&fccid=5e964c4afc56b180&vjs=3
Postdoc Human-Environment Systems Analysis and Modelling,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,10 dagen geleden,03-01-2021,"Contribute to Msc thesis supervision (and potentially some other teaching).
From forest fires to big data, from obesity to medicines and from molecules to the…","<span class=""salaryText"">
€2.790 per maand</span>",https://nl.indeed.com/rc/clk?jk=3caa00d259799afc&fccid=7fcd0afcba4c0099&vjs=3
Thesis Research - Business Intelligence,felyx,Amsterdam Zuid,Meer dan 30 dagen geleden,03-01-2021,"Do you get high on data?
Enjoy working with data and developing advanced analytics.
The goal is to develop an advanced analytical application regarding a…",,https://nl.indeed.com/rc/clk?jk=5a45b1f1f0fff7c3&fccid=2113777edd2a8df8&vjs=3
Internship - Consulting Services,IQVIA,Amsterdam,24 dagen geleden,03-01-2021,"Support thought leadership which could serve as the basis for your thesis.
Acquiring deep knowledge of IQVIA data sources, acting as an advisor to other members…",,https://nl.indeed.com/rc/clk?jk=6e0dd61ddd0847ae&fccid=6b7a1dfe07e7f037&vjs=3
Internship: Philips Capital Marketing Communications (Suitable for Thesis),Philips,Amsterdam,20 dagen geleden,03-01-2021,"Information and data acquisition and analysis used for marketing and communication campaigns.
We are open to discuss with you the possibility to make this…",,https://nl.indeed.com/rc/clk?jk=b1ae235b1dea17df&fccid=e4af9ca5b6d3a604&vjs=3
Doctoral Student Position Available on Computational Pangenomics,CWI,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"The move from sequence- to graph-based pan-genome data structures is unavoidable when seeking to exploit the wealth of genetic data, instead of having devices…","<span class=""salaryText"">
€2.807 per maand</span>",https://nl.indeed.com/rc/clk?jk=ca5f357bec21c0b5&fccid=55c5d0e08cf4803f&vjs=3
Operations & Business Analyst Internship,ABN AMRO Bank,Amsterdam,19 dagen geleden,03-01-2021,"Creating a plan of approach and conducting research & data analysis.
Are you a last year HBO or WO student with a knack for Data Mining, Data Analytics and…",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnu3zP8nC49W8vdwlFzj2GRkwR8u9kHW8NDbMeuGIJw2YH3TBxameIDPUvCkjw0PlvfuWUs-67SNMjpQD4U1tZexZcS2ATvQRlkFjbAScmn4QgQSoDEzY4x8cU7VVZ_5s38BDXw4jgfqf9zgZA568CHzBoYfErGwZOCk0k7GeZlEBkGnsXCNRW049HkcHKxVJmF1gsNeOmH8lvx3SYeDJJ2zIjSXcHIiCojPEh-HAWySellIqb6PC3NuuJX5z_QMwHWmIds3_asfMmLz1HspsMaUSD4Kpvp981RIlrTqdUXypjlucr4UY0YzzKcOmMJg_9qxj0nNvJcyXO2nI0D5XJtk7FKUUuuFoGIEt79REFKZu2YU3RjrKVES_xHjuyAzIiAQVoRbCKya23hnUEXmRXpgFXXooKjAwVl9ysA_lDt17LicApPn5aevBYKEoE0M6Qfy2L_oFVdUDvHZ9lYfZ8PKtHzhjoZ3dBGRWPn8H-R6JKeYMfDwdpYciZNDPSNXlaXDuZL0ZCp2elXafsKJZQU3fQ5Z59AFXU4k_ba5QiXWsKhtjhdhP1VQ1emkYJ4pe25RooSl4UBs1K-DOPvv1-8dE-JlNc5djROSC0LkbWsuPdzqKFg2L0n2I4e2ee7oJTKI5OuYu2x-PCi-nwSCJj6PPRjpsNPQ0HSHYWQdgDqgg8zsjenP6z9MojG8abBtgkDI1ybDM-pvGIs7yEtDOmNP7sXO7ZawWEH_MAhAa9YnPiCeyPqU06Wrv9ZfYvh40Z_Q2Zpke0iox&p=0&fvj=0&vjs=3
PhD position on Data Perspectives on the International Tax System,Universiteit Leiden,Leiden,25 dagen geleden,03-01-2021,"Therefore, among others, clear data definitions, data requirements, standards and formats (data governance) together with trustworthy and accessible data…","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1p3sUvbC4jvQpEtqI4i5BQBlaEanhoTkl5XwvdKtHyWE88Pubn1-3xWyZmq6uwXiEhZQ5WDG0NYZ1PiOoGDIaNivnjkYu58dztdbB35SPm6H3Qd_WMChx49jdvnHhQmmEn5Jp5ptw1EsKNiKbkCWAL5FA8o3hyaW-fAMD3HlvCDIQleADRtLTY65SQTBGtKjNNEEceazUOcDinvDoN_wmTIn1s3_dRMOe_FZIqstRmLgVITQxY6_uniupUdvcxncBYprACKdd_FC7xyscc0pz4fWVC4r_qcIYzDUneNFaALSxrp5wlDsv7-CjJF_TAGpiUw5q3biReBzMnEAZb3K_tWVXC0Jx9Od-fx-esnnf8oB3N_oBoF8VwEmCkkvZ_A5nUu_3mrGQbyL3ZCPQrnm5nhfom5ILLI306WDuU94_xwtbDTi1cO2CHXNATj76L1a3qGLJxVcHnDbnzcSDLBtVK1HSWN0tjHpNdHZck-saJrbZaCi_EjffI0SoC_Iz35iFLgmk0KsOSqGoBS3LJ5EB9z2EVcLH6lHNP2BV1ILFRpQiykIYfpP2eQX77BdI2kJz2FS38J2xcImWB0rHlkXZ3hjPtnB_g6T6Rvq6NSr4X8QetEA7vgVTr7yBI6Pt1oWHTD4AfvZ1VuHOLzQzsezh35muTUXfse2p1lQhXApjoLyIoHL_J5hUbkvYjSjoSdSlQPQloaagdQ6tgmIG-M8T4SsLHFMAAwGZc9ihvBoWZZj7Ud1btZZrk1XB5_E3ry7v9mXenRn6DmL5Io93o-fd46SUwV9QDMI=&p=1&fvj=0&vjs=3
Postdoc Human-Environment Systems Analysis and Modelling,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,10 dagen geleden,03-01-2021,"Contribute to Msc thesis supervision (and potentially some other teaching).
From forest fires to big data, from obesity to medicines and from molecules to the…","<span class=""salaryText"">
€2.790 per maand</span>",https://nl.indeed.com/rc/clk?jk=3caa00d259799afc&fccid=7fcd0afcba4c0099&vjs=3
Thesis Research - Business Intelligence,felyx,Amsterdam Zuid,Meer dan 30 dagen geleden,03-01-2021,"Do you get high on data?
Enjoy working with data and developing advanced analytics.
The goal is to develop an advanced analytical application regarding a…",,https://nl.indeed.com/rc/clk?jk=5a45b1f1f0fff7c3&fccid=2113777edd2a8df8&vjs=3
Internship - Consulting Services,IQVIA,Amsterdam,24 dagen geleden,03-01-2021,"Support thought leadership which could serve as the basis for your thesis.
Acquiring deep knowledge of IQVIA data sources, acting as an advisor to other members…",,https://nl.indeed.com/rc/clk?jk=6e0dd61ddd0847ae&fccid=6b7a1dfe07e7f037&vjs=3
Internship: Philips Capital Marketing Communications (Suitable for Thesis),Philips,Amsterdam,20 dagen geleden,03-01-2021,"Information and data acquisition and analysis used for marketing and communication campaigns.
We are open to discuss with you the possibility to make this…",,https://nl.indeed.com/rc/clk?jk=b1ae235b1dea17df&fccid=e4af9ca5b6d3a604&vjs=3
Doctoral Student Position Available on Computational Pangenomics,CWI,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"The move from sequence- to graph-based pan-genome data structures is unavoidable when seeking to exploit the wealth of genetic data, instead of having devices…","<span class=""salaryText"">
€2.807 per maand</span>",https://nl.indeed.com/rc/clk?jk=ca5f357bec21c0b5&fccid=55c5d0e08cf4803f&vjs=3
Industrial engineering / information management intern - master thesis student,DSM,Nederland,17 dagen geleden,03-01-2021,"Industrial engineering / information management intern - master thesis student.
Industrial engineering / information management intern - master thesis student.",,https://nl.indeed.com/rc/clk?jk=26bdf8852781f8fe&fccid=e55924959400876c&vjs=3
PhD position in Culturally and Socially Responsible AI,Universiteit van Amsterdam,Amsterdam Centrum,17 dagen geleden,03-01-2021,"Complete and defend a PhD thesis within the official employment duration of four years;
Outstanding research qualities, manifested in a high-quality Master’s…","<span class=""salaryText"">
€2.395 - €3.061 per maand</span>",https://nl.indeed.com/rc/clk?jk=ea271af3bb373d7c&fccid=6d76c7ec59b89971&vjs=3
Content Manager,Scribbr,Amsterdam,16 dagen geleden,03-01-2021,"Have written a thesis yourself.
You’ll learn not only how to write great web content, but also how to make decisions using SEO tools, keyword analysis, user…",,https://nl.indeed.com/rc/clk?jk=e0e7cbbd9f6edd16&fccid=b259d1e2a70b9639&vjs=3
Internship: Talent Intelligence Support,Philips,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Own Excel/data analytic skills.
Length: 6 to 12 months - not suitable for thesis.
Expected Start Date: January 2021.
In this role, you have the opportunity to:",,https://nl.indeed.com/rc/clk?jk=ff4b11851c244b81&fccid=e4af9ca5b6d3a604&vjs=3
Internship in Supply Chain - Demand planning Laundry & Home Care,Henkel,Nieuwegein,13 dagen geleden,03-01-2021,"Link experience & learning from the role to a study project or thesis.
HENKEL IS FOR THOSE WHO STEP UP.
At Henkel, you can make a difference and craft your…",,https://nl.indeed.com/rc/clk?jk=4b4735bb95fa83fd&fccid=79b1953a75a5cc1a&vjs=3
Afstudeerder Omgevingswet,Antea Group,Oosterhout,Meer dan 30 dagen geleden,03-01-2021,"Ben jij opzoek naar een afstudeeropdracht of input voor je thesis?
Wil jij meehelpen aan de opgave om de leefomgeving op de juiste manier in te richten?",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUA9otAd0h-hTtNULtOhpGJd9LnPgcKj5fSPX_XLkkh8zz3qlJcrlfIjjMyyIQzAS73JeKrXIj_8a8JVqpqyLfIP2aJ78A6_fxAu5-3ID1Ibtbip6RAX7wWbxoIby2lcvmBnBSQtBv8nMhingQSFptSuq93G2NM2iWVFYKlXiJ635--SdxY63utdjQnVTWXMZN0XX2TRXRT_71zkUr8Ku4-9A97dRcpf8wkIJeiu1Il8HsbBmMNFUaAPB8TbfaKHUsjWzmP6cT5o5LV2M-NRkRLlMFjRlQjhgh_oV5S64hzeIq3ZYDiqS3gimExwoisNp1K1YkjbY-ZXsRocYDiZLK1IQobinWzN8O1QXXIQYgO7QzSWE-taiVs8itigQ6MfUdLsKhaT8aLZtNuXGlK1-k_uPYYMYX-En7hMTJoo_F4tqMO9bJzVawMxoQ4rAwQNcXLP4nJEG-8sT_weEZteeV6LLJzVJ36ODEJ__aM5FhpDSyrqb5F1uerS2-02R6W9EcZvpa_OTy5GeSGOTQWXQmP4cvl_ekuqpMeBe8EARaaiG-1kyty2y304Xy2OEcB5NlNHeMdNsAh9KliHuUujnJmXHOQy5hum9oXXXaGt0wUaS3cfN7AUzVBwZqEVqdgZzqanCZPzouvZyG0zauElJQRK5PS4VS4JzyOQh021kqB05N1twCng63ydfBEQ1QIEfwg7XemU91GSJpWn95xq-o&p=12&fvj=0&vjs=3
Internship Regulatory Execution Reporting,ABN AMRO Bank,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"You are a at least a WO student and would like to expand on your working experience or write your thesis.
Lastly, always include your availability period (e.g.,…","<span class=""salaryText"">
€600 per week</span>",https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_cWh5ufxJCEatf9FOtgdwl-LajcKrnY3NwdklpeSDnu3zP8nC49W8vdwlFzj2GRk4nkx9mbjBNWOIhwFvRwlVk19qySBsb3x7c_geGi__QoOaTWryVoNoQ2MjJV6brKjD8R7v0f5CeN4sfob3b7A-u3RNAYUul-mpgPMQuF_acp6v9brd_2NbY9vGmHYLTajMsvTAydtE9qgPvbBbg_Ho93q-uJAEsemUyL7ZpaS_DArMgJ2FE10vaBssCWHi8Wav4zraulcyE7-zr9GJbCTa4tj_zjWmK9NKKUVp9u_nC74-SOmqjUzVdueRveTjMDYIAfjyOJFvPjhaCEbO-3AkLd8abxFZXzzulnqWmDovg2-0S82-aI1ySqiA2g9aeU1dtbHIaJ5dSN6DODbqz938Mk0Ym9tOmIgMbQpEZ1EwnYxj2mFKWkok04p9fGhoKBJfB9EHZzKkNW2wv_8XvqwF_RfIkrgqbMe7_KcZkWFt30H0RTkTIm9rhxNQQJzEuFrq3WOo2owoAbuMmsAGe7nBZZ3xrBQYcBgS12jw8kUMzp91kSUNkNqU2PucDYbv0Ag7TUi7irykKhGit1jBwYy_jseYVXXNpNMCInEAaxcxFDMTgtF2c2W0Un76oXYHq4rWR8ziz7kbH5FMyEF6ONdZN6-65W5ld_uriGhcw2GdE5nRufp-5mrzMgar2tJhME5Vp__Qvh_RVSEQgxmUVQ9q_ifuYa6aAEOdc8A4G7IbQx55BMomjNFcc6nKlx0XxUmJhSrzPeVG6t8WQyvpWi2bdwbIMH8YVlOVlq4VYoi3tl7ci1PaOAm5_Wiot6KnXRtFuxzEo_EcTgbPeOYUPJDdkW6dOTdMWNpkS_v9UgfgJw==&p=13&fvj=0&vjs=3
Engineer Student Thesis Assignment - Vent Pattern Design,Apollo Tyres Global R&D,Enschede,Meer dan 30 dagen geleden,03-01-2021,"Next to delivering the data the department clarifies questions of the suppliers, which are located all around the globe.
Available for 5-6 months.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CeJnrXaUflvF4o6KqeKJBM9d_15l4Y-yo8sl4Im7piN-a9gnZp-jpfvZ-Lf-dpT0OQfsvXkvKEBxYReazp7mGrGxfRcbYv59DMJZPLt4LB9CJFyOw1m2d3HPKNOb4sC9yjhX2T96-s4gQ9oUq9j4nJZYk0UdcWERyeqJD9r5CKimL3exJXqBAnToH-8B9x80XwklNYtf1qvQX1iPoInzp4D7nJnT6tX6W_SsLIRxRRTEAgQgHDDOHZfm19VrJp9MMVkvRcBQA7nJlxdkPEMXp_fBeAruhonHtoeWTKnlAEmQi8zoUe3qR9q44tbzEAcEcVX_EEIMAGKH0B__bBTFxRU6TUnLkJY0OkqJaFsaHsNKmK2_qlRNj6e6YNihN3GI4cr3ok-k4mXRr-_0D29W4A8yQtUTCyq9GyRb7IUHlskAwn5cPf9KlvBSP8ZXopAGCUcantrrfvt2e993un_-kahMN-jd4RNKYQl4pi3t8E8OQaUldbjLrz&p=14&fvj=1&vjs=3
Postdoc position: Food sustainability,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,Meer dan 30 dagen geleden,03-01-2021,"PhD, MSc and BSc thesis supervision.
From forest fires to big data, from obesity to medicines and from molecules to the moon: our teaching and research…","<span class=""salaryText"">
€2.790 per maand</span>",https://nl.indeed.com/rc/clk?jk=88f9bf420b3446ed&fccid=7fcd0afcba4c0099&vjs=3
PhD position Forensic Detection of Deep Fake Videos,Universiteit van Amsterdam,Amsterdam Centrum,17 dagen geleden,03-01-2021,"This should lead to a dissertation (PhD thesis).
Contribute to our education activities as assistant to a course and/or guiding students in their thesis work.","<span class=""salaryText"">
€2.395 - €3.061 per maand</span>",https://nl.indeed.com/rc/clk?jk=9cae75c9acea33c7&fccid=6d76c7ec59b89971&vjs=3
Internship | Data Sovereignty in the International Data Spaces,TNO,Groningen,Meer dan 30 dagen geleden,03-01-2021,"Therefore, in the transition towards the realization of the vision of the data sharing ecosystem as shown in the figure, data sovereignty is the key…",,https://nl.indeed.com/rc/clk?jk=fc0edf2f584fe14c&fccid=ea11de2ae4cd5abc&vjs=3
Technical sales internship - 6 months master thesis project - Amsterdam,Cisco Systems,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"They will be your primary contacts for gaining technical expertise to support your research for your thesis.
Surrounded by highly skilled Technical and Business…",,https://nl.indeed.com/rc/clk?jk=5abb1419fb28b0d1&fccid=dfc44f3b8c44a6db&vjs=3
"Postdoc PFAS restriction, essential use","RIVM: professional, reliable, and independent",Bilthoven,16 dagen geleden,03-01-2021,"Strong analytic and methodological skills (e.g. quantitative data analysis, statistics, design of experiments);
One area of application is PFASs.",,https://nl.indeed.com/rc/clk?jk=71ffa98e1c112fa9&fccid=25deb46e99490686&vjs=3
Internship Global Trade Management,Avery Dennison,Oegstgeest,Meer dan 30 dagen geleden,03-01-2021,"Maintain trade compliance data in the ERP system.
Prepares reports within the GTM team by using either EXCEL, QAD or other data containing systems.",,https://nl.indeed.com/rc/clk?jk=c9bc950c60bc4678&fccid=c404ee662148c290&vjs=3
Financial Planning Analysis Intern - Labs,IDEXX,Hoofddorp,27 dagen geleden,03-01-2021,"In close collaboration with the other FP&A teams, you will work on process improvement and data consolidation.
What You Will Need to Succeed.",,https://nl.indeed.com/rc/clk?jk=edf3d5377c350849&fccid=0ad4c4a48e8d4d46&vjs=3
Postdoctoral research position: Using Collaborative Artificial Intelligence for Health,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,24 dagen geleden,03-01-2021,"Contribute to creating a stimulating learning environment through MSc and BSc thesis supervision.
From forest fires to big data, from obesity to medicines and…","<span class=""salaryText"">
€2.790 per maand</span>",https://nl.indeed.com/rc/clk?jk=ee5e4bf6fcb1c4a1&fccid=7fcd0afcba4c0099&vjs=3
Vehicle Development Intern,Picnic,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Excel Wizard: Outstanding Excel and data analysis skills.
Pay attention: this is not a (thesis) graduation internship.
English proficiency, Dutch is a plus.",,https://nl.indeed.com/rc/clk?jk=fa5d3802f1bd2643&fccid=9ca7c1c1cfaa481c&vjs=3
Internship | Sustainable Urban Mobility & Safety,TNO,Den Haag,Meer dan 30 dagen geleden,03-01-2021,"Experience with data analysis is a plus, but not strictly necessary.
How can we improve our current vehicle and driver models with the data we have collected?",,https://nl.indeed.com/rc/clk?jk=ff01a214ac9a1a5b&fccid=ea11de2ae4cd5abc&vjs=3
"Internship: Group Business Transformation, Market to Order – Customer Analytics (Suitable for thesis)",Philips,Eindhoven,16 dagen geleden,03-01-2021,"Skilled in data analysis and reporting.
This internship is open supporting you with a thesis.
Based if we are able to support you with a thesis, we do require…",,https://nl.indeed.com/rc/clk?jk=757448e4f548eb5f&fccid=e4af9ca5b6d3a604&vjs=3
Afstudeerstage Capital Projects & Infrastructure Consulting,PwC,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Next to writing your thesis, you will engage in projects within our team.
Way of working: what would be your approach to come to a solid thesis?",,https://nl.indeed.com/rc/clk?jk=4289cdddba93191a&fccid=5e964c4afc56b180&vjs=3
Intern Sales,coty,Schiphol,Meer dan 30 dagen geleden,03-01-2021,"The internship can be combined with a thesis.
Prepare product and trade activities data according to Key Account needs.
Attention for detail and structured.",,https://nl.indeed.com/rc/clk?jk=506c9444776f8ef5&fccid=7ad46606e93080a6&vjs=3
PhD position in computational single-cell cancer biology,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,24 dagen geleden,03-01-2021,"Integrate such data with live-cell imaging data.
Write a PhD thesis consisting of peer-reviewed scientific papers.
Please apply at Vrije Universiteit Amsterdam.","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=7d33a932559e8c39&fccid=7fcd0afcba4c0099&vjs=3
PhD candidate: Health effects of night shift work,Universiteit Utrecht,Utrecht,23 dagen geleden,03-01-2021,"These papers will form the basis of your PhD thesis.
This PhD project will focus on collecting individual level data among shift workers.","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=dbc9fbdbcedd02e5&fccid=1fef3c651d457079&vjs=3
Intern Sales,coty,Schiphol,Meer dan 30 dagen geleden,03-01-2021,"The internship can be combined with a thesis.
Prepare product and trade activities data according to Key Account needs.
Attention for detail and structured.",,https://nl.indeed.com/rc/clk?jk=506c9444776f8ef5&fccid=7ad46606e93080a6&vjs=3
PhD position in computational single-cell cancer biology,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,24 dagen geleden,03-01-2021,"Integrate such data with live-cell imaging data.
Write a PhD thesis consisting of peer-reviewed scientific papers.
Please apply at Vrije Universiteit Amsterdam.","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=7d33a932559e8c39&fccid=7fcd0afcba4c0099&vjs=3
PhD candidate: Health effects of night shift work,Universiteit Utrecht,Utrecht,23 dagen geleden,03-01-2021,"These papers will form the basis of your PhD thesis.
This PhD project will focus on collecting individual level data among shift workers.","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=dbc9fbdbcedd02e5&fccid=1fef3c651d457079&vjs=3
Internship Indirect Procurement,Avery Dennison,Oegstgeest,Meer dan 30 dagen geleden,03-01-2021,"They will need to Collaborate across Boundaries by acting as a point of reference, for internal and external stakeholders, through accurate data gathering and…",,https://nl.indeed.com/rc/clk?jk=027f823a3209a986&fccid=c404ee662148c290&vjs=3
Internship: Consumer Marketing (Shaving),Philips,Amsterdam,Meer dan 30 dagen geleden,03-01-2021,"Supporting selected projects in Product Development including analysis on consumer and market data, and coordinating selected areas of the project.",,https://nl.indeed.com/rc/clk?jk=a73fe813253682c9&fccid=e4af9ca5b6d3a604&vjs=3
2 PhD positions / Advanced Ion Mobility Mass Spectrometry for Characterisation of Food,Wageningen University & Research,Wageningen,17 dagen geleden,03-01-2021,This can be done directly via the application button at the vacancy on our website so that we can process your personal data with your permission.,,https://nl.indeed.com/rc/clk?jk=8be9313ecb72d013&fccid=4be1581f8d3745b0&vjs=3
PhD Regulating Socio-Technical Change 2021,Tilburg University,Tilburg,25 dagen geleden,03-01-2021,"A recent example of your written work, ideally a bachelor or master thesis.
Tilburg University | Tilburg Law School.
Department : Tilburg Graduate Law School.","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=12a7243b6ebb01c5&fccid=b9529daf9f1d0324&vjs=3
Internship: EMEA Corporate Tax Intern,Avery Dennison,Oegstgeest,23 dagen geleden,03-01-2021,"As the EMEA Corporate Tax intern, you will be responsible for the implementation of a new data storage facility.
Reported sales in 2018 were $7.2 billion.",,https://nl.indeed.com/rc/clk?jk=1c7a69146fea12cd&fccid=c404ee662148c290&vjs=3
Internship Hydrology (stage),Mobiliteitscentrum Regio West-Brabant,Nederland,Meer dan 30 dagen geleden,03-01-2021,"Analyses of available data on discharge rates.
Historic data on stream discharge rates are available, but many timeseries are incomplete.",,https://nl.indeed.com/rc/clk?jk=6cde6dc2d35ee1a4&fccid=505fcdeb48d88f6d&vjs=3
Internship: Electronic Packaging,NXP Semiconductors,Nijmegen,Meer dan 30 dagen geleden,03-01-2021,"In this project we will work on this full perspective by systematically comparing simulations results with experimental data.
What’s in it for you?",,https://nl.indeed.com/rc/clk?jk=5c2748ab8e5556b6&fccid=d113f5fdf3e1cb7b&vjs=3
5 PhD positions in Business,Vrije Universiteit Amsterdam,Amsterdam-Zuidoost,Meer dan 30 dagen geleden,03-01-2021,"Academic paper (e.g., Master thesis or article).
Whether it is the use of robots in society or big data, labour market participation or flexibility in the…","<span class=""salaryText"">
€2.395 per maand</span>",https://nl.indeed.com/rc/clk?jk=8d1e5b88ec1a24f0&fccid=7fcd0afcba4c0099&vjs=3
Postdoc Biorefinery,Wageningen University & Research,Wageningen,17 dagen geleden,03-01-2021,This can be done directly via the application button at the vacancy on our website so that we can process your personal data with your permission.,,https://nl.indeed.com/rc/clk?jk=137b50cf5e0c3e50&fccid=4be1581f8d3745b0&vjs=3
PhD position Mechanisms underlying plant-root microbiome recruitment under stress,Universiteit van Amsterdam,Amsterdam Centrum,12 dagen geleden,03-01-2021,In this PhD position you will use experimental data and data integration approaches to unravel causal relations in plant-microbiome interactions under stress.,"<span class=""salaryText"">
€2.395 - €3.061 per maand</span>",https://nl.indeed.com/rc/clk?jk=7aab9046f415f183&fccid=6d76c7ec59b89971&vjs=3
